latitude,longitude,geometry,OBJECTID_1,OBJECTID,NAMA,JENIS,KELURAHAN,KECAMATAN,KOTA_ADMIN
-6.194768773,106.8027176,Point,2879,8935,TK BHAYANGKARA,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.187199437,106.8035428,Point,2880,8936,YAYASAN PENDIDIKAN NURUL IHSAN,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.189232836,106.810096,Point,2881,8937,PAUD WIJAYA KUSUMA,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.17485372,106.8083782,Point,2882,8938,HOLY ANGEL SCHOOL,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.177621846,106.8101135,Point,2883,8939,TK YASRI,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.198056811,106.8104621,Point,2884,8940,PAUD KEMUNING,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.191696463,106.8118101,Point,2885,8941,RA AL-HIDAYAH,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.205207812,106.7871599,Point,2886,8942,YAYASAN AN-NUR,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.199648763,106.7936593,Point,2887,8943,TK TUNAS MUDA I IKKT,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.206422559,106.7864913,Point,2888,8944,TK NURUL ISLAM,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.196158884,106.7841873,Point,2889,8945,TK RISANTI I,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.197576413,106.7862768,Point,2890,8946,PAUD SARI MUTIARA,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.202714659,106.7924035,Point,2891,8947,PAUD BOUGENVILLE,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.199180129,106.7966284,Point,2892,8948,TK CENDRAWASIH,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.198119839,106.7909456,Point,2893,8949,TK AL-GHIFARI,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.167567132,106.8049652,Point,2894,8950,TK KENANGA,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.186241424,106.7955759,Point,2895,8951,PAUD AL-AQIDAH,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.19761996,106.7961939,Point,2896,8952,TK AR-RAHMAN,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.187543934,106.7856346,Point,2897,8953,TK BHAKTI YKKP,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.193589225,106.7941764,Point,2898,8954,TK ANGGREK,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.186276642,106.7882746,Point,2899,8955,TK YASPORBI,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.208085976,106.8124392,Point,2900,8956,RA NURUL JIHAD,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.185804249,106.8044649,Point,2901,8957,KB-TK IT FITRAH INSANI,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.206863947,106.7972348,Point,2902,8958,TK OBOR KASIH,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.194860775,106.8078492,Point,2903,8959,YAYASAN PENDIDIKAN ISLAM AL-IJTIHADIYAH,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.197194792,106.8086716,Point,2904,8960,TK AISYIYAH 79,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.20251787,106.8104683,Point,2905,8961,TK PUTRA III,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.180103871,106.8056577,Point,2906,8962,TK AISYIYAH BUSTANUL ATFAL,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.179568208,106.7989372,Point,2907,8963,TK RUKUN IBU,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.208081321,106.7860049,Point,2908,8964,TK AL-JARONA,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.198573467,106.7817234,Point,2909,8965,TK TARSIUS II,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.195211988,106.7758406,Point,2910,8966,PAUD AL-IRSYAD,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.195603792,106.7807919,Point,2911,8967,PAUD RASDATUL JANNAH,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.192642773,106.7811826,Point,2912,8968,TK MUTIARA DHARMA WANITA,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.192732853,106.7814444,Point,2913,8969,TK MUTIARA SEJAHTERA,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.190334777,106.7754385,Point,2914,8970,YAYASAN PENDIDIKAN ISLAM TAUFIQAR RAHMAN,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.17944877,106.7900133,Point,2915,8971,PAUD ANGGREK CERIA,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.176997081,106.7961527,Point,2916,8972,PAUD AISYIYAH,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.172352784,106.7730522,Point,2917,8989,SDN KEDOYA UTARA 06 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.172380061,106.7727281,Point,2918,8990,SDN DURI KEPA 05 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.18386561,106.783117,Point,2919,8992,SDN TANJUNG DUREN UTARA 06 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.184179838,106.7831549,Point,2920,8993,SMK ISLAM AA,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.181194713,106.7857908,Point,2921,8994,SDN TANJUNG DUREN SELATAN 01 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.181110984,106.7854343,Point,2922,8995,SDN TANJUNG DUREN SELATAN 07 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.175264984,106.8062465,Point,2923,9001,SMAN 2 SELUMA,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.176580612,106.8039797,Point,2924,9004,SDN JATI PULO 05 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.198260209,106.8027185,Point,2925,9006,SD KRISTEN LEMUEL I,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.205382583,106.7817839,Point,2926,9010,SDN SUKABUMI UTARA 07 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.19390323,106.791091,Point,2927,9011,SDN KEMANGGISAN 13 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.192377841,106.7838347,Point,2928,9012,SDN KEMANGGISAN 17,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.192739658,106.7946677,Point,2929,9013,SDN KEMANGGISAN 03 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.193048237,106.7945009,Point,2930,9014,SDN KEMANGGISAN 02 PETANG,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.167740281,106.7755092,Point,2931,9021,SMK DEWI SARTIKA,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.167172766,106.7787356,Point,2932,9022,SEKOLAH DHARMA BANGSA,SEKOLAH / BANGUNAN PENDIDIKAN, , , 
-6.259829996,106.7684444,Point,2933,9030,SEKOLAH TINGGI PARIWISATA TRISAKTI BINTARO,SEKOLAH / BANGUNAN PENDIDIKAN,BINTARO,PESANGGRAHAN,JAKARTA SELATAN
-6.2579347,106.7951457,Point,2934,9031,SMA NEGRI 46 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,GANDARIA UTARA,KEBAYORAN BARU,JAKARTA SELATAN
-6.26050378,106.7689117,Point,2935,9034,STP TRISAKTI,SEKOLAH / BANGUNAN PENDIDIKAN,BINTARO,PESANGGRAHAN,JAKARTA SELATAN
-6.253998252,106.7982218,Point,2936,9035,UNIVERSITAS BHAYANGKARA JAYA,SEKOLAH / BANGUNAN PENDIDIKAN,PULO,KEBAYORAN BARU,JAKARTA SELATAN
-6.264620723,106.7727488,Point,2937,9037,SMK 18 CIPUTAT RAYA,SEKOLAH / BANGUNAN PENDIDIKAN,PONDOK PINANG,KEBAYORAN LAMA,JAKARTA SELATAN
-6.256039989,106.7831982,Point,2938,9038,SMPN 164 DARMA PUTRA,SEKOLAH / BANGUNAN PENDIDIKAN,KEBAYORAN LAMA SELATAN,KEBAYORAN LAMA,JAKARTA SELATAN
-6.262086408,106.7913707,Point,2939,9039,SMPN 240 GANDARIA,SEKOLAH / BANGUNAN PENDIDIKAN,GANDARIA UTARA,KEBAYORAN BARU,JAKARTA SELATAN
-6.250142967,106.7859729,Point,2940,9041,SMAN 74 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,KEBAYORAN LAMA SELATAN,KEBAYORAN LAMA,JAKARTA SELATAN
-6.254507646,106.7782527,Point,2941,9042,SMK MAKARYA 2,SEKOLAH / BANGUNAN PENDIDIKAN,KEBAYORAN LAMA SELATAN,KEBAYORAN LAMA,JAKARTA SELATAN
-6.261435343,106.7774357,Point,2942,9043,SMK MAKARYA 1 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,PONDOK PINANG,KEBAYORAN LAMA,JAKARTA SELATAN
-6.261012669,106.7752154,Point,2943,9044,SMK FATAHILAH,SEKOLAH / BANGUNAN PENDIDIKAN,PONDOK PINANG,KEBAYORAN LAMA,JAKARTA SELATAN
-6.252837408,106.7741675,Point,2944,9045,SMK TIRTAYASA,SEKOLAH / BANGUNAN PENDIDIKAN,KEBAYORAN LAMA UTARA,KEBAYORAN LAMA,JAKARTA SELATAN
-6.253034337,106.781997,Point,2945,9046,SMK JAKARTA MANAJEMEN,SEKOLAH / BANGUNAN PENDIDIKAN,KEBAYORAN LAMA SELATAN,KEBAYORAN LAMA,JAKARTA SELATAN
-6.258690367,106.7922615,Point,2946,9047,SMK GITA KIRTTI 1,SEKOLAH / BANGUNAN PENDIDIKAN,GANDARIA UTARA,KEBAYORAN BARU,JAKARTA SELATAN
-6.252452296,106.811412,Point,2947,9056,SDN PELAMAMPANG,SEKOLAH / BANGUNAN PENDIDIKAN,PELAMAMPANG,MAMPANG PRAPATAN,JAKARTA SELATAN
-6.266037098,106.7957658,Point,2948,9057,SD PANGUDI LUHUR,SEKOLAH / BANGUNAN PENDIDIKAN,GANDARIA SELATAN,CILANDAK,JAKARTA SELATAN
-6.267174994,106.7984009,Point,2949,9061,TK SD SMP SMA DARUT MA'ARIF,SEKOLAH / BANGUNAN PENDIDIKAN,CIPETE SELATAN,CILANDAK,JAKARTA SELATAN
-6.262592541,106.8028533,Point,2950,9065,SDN CIPETE UTARA 15 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN,CIPETE UTARA,KEBAYORAN BARU,JAKARTA SELATAN
-6.263716826,106.8098322,Point,2951,9071,SMPN 250 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,CIPETE UTARA,KEBAYORAN BARU,JAKARTA SELATAN
-6.26329135,106.8100758,Point,2952,9072,SDN CIPETE UTARA 13 & 14 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN,CIPETE UTARA,KEBAYORAN BARU,JAKARTA SELATAN
-6.261866456,106.8105012,Point,2953,9073,SDN CIPETE UTARA 05 & 07 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN,CIPETE UTARA,KEBAYORAN BARU,JAKARTA SELATAN
-6.259164966,106.7944953,Point,2954,9076,SDN GANDARIA UTARA 01 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN,GANDARIA UTARA,KEBAYORAN BARU,JAKARTA SELATAN
-6.236121857,106.8154317,Point,2955,9113,SD RAWA BARAT 05 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN,RAWA BARAT,KEBAYORAN BARU,JAKARTA SELATAN
-6.240035308,106.81641,Point,2956,9115,SMP TARAKANITA,SEKOLAH / BANGUNAN PENDIDIKAN,PETOGOGAN,KEBAYORAN BARU,JAKARTA SELATAN
-6.239752963,106.8167785,Point,2957,9116,SD TARAKANITA,SEKOLAH / BANGUNAN PENDIDIKAN,PALAMAMPANG,KEBAYORAN BARU,JAKARTA SELATAN
-6.242132729,106.8176005,Point,2958,9117,SD BUDI WALUYA II & SD LUAR BIASA BAG,SEKOLAH / BANGUNAN PENDIDIKAN,PELAMAMPANG,MAMPANG PRAPATAN,JAKARTA SELATAN
-6.240420077,106.8077969,Point,2959,9148,SMK NEGERI 29 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,SELONG,KEBAYORAN BARU,JAKARTA SELATAN
-6.245787349,106.8123443,Point,2960,9149,SMA TARAKANITA 1 & SMK TARAKANITA,SEKOLAH / BANGUNAN PENDIDIKAN,PETOGOGAN,KEBAYORAN BARU,JAKARTA SELATAN
-6.244875321,106.8067758,Point,2961,9150,PERGURUAN TINGGI ILMU KEPOLISIAN,SEKOLAH / BANGUNAN PENDIDIKAN,MELAWAI,KEBAYORAN BARU,JAKARTA SELATAN
-6.249098782,106.8029915,Point,2962,9160,SMP NEGERI 24 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,MELAWAI,KEBAYORAN BARU,JAKARTA SELATAN
